make,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r741308956-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Jan 2020 • Couples,5.0,Maze-like...,"...so make sure to search the whole area else you may miss something. The gardens aren’t really that impressive but the buildings really are: ornate carvings, secluded courtyards and secret views."
make,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r717916814-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Nov 2018,5.0,Cultural Richness of Nepalese Civilization .,"We entered Patan Museum , through its Sun Dhoka , a finely engraved and gilded gateway constructed in 1734 , facing one of the most beautiful squares in the world and renovated by His Majesty's Government of Nepal and the Austrian Government , at 1015 on 5th November , 2018 . The Sun Dhoka was topped by a beautiful , golden pediment . At the apex of the pediment was a huge Kirtimukha holding his two long fangs with his two hands coming out through his majestic mane . Below the Kirtimukh was the family of Lord Panchmukhi Shiv with his console Parvati and sons Ganesh and Skand . This family was flanked by Makar torana , ( floral-reptile motifs )with two celestial makars depicted as one third terrestrial animal ( trunk of elephant ) in the frontal part , one third aquatic animal ( crocodile ) in the middle part , one third bird ( tail of peacock ) in the hind portion with extended floral tail .  There was a golden window above the Dhoka ( gate ) , once used by the king to make public appearances .The window enshrined Avlokiteshwara aka Karunamaya ( now known all over the world as Machchhendranath , a famous Hindu yogi ) surrounded by the pantheon of Hindu gods .  The old museum building was reinforced with concealed RCC beams & slabs and retrofitted with moisture resistant membranes to protect the walls and roof from dampness .  We first witnessed Shilapatras inscripted from 659 Ad to 1896 AD . Then we climbed new stair case in the eastern wing .  There we saw a ritual oil lamp with bronze donor figure made at Bhaktapur in 1870 AD and placed under terracotta nitche and torana .  Then we saw five Buddhist beautiful figurines showcased together :  The left hand side bottom most figure was of Chamunda / Kali / Mahalaxmi . It was made of Brass in 18th - 19th century in Nepal . Depicted as a skeletal crone as no other Goddess was , the fierce Mahalaxmi - also called Chamunda / Kali - could not be mistaken for any other female deity .  The left hand side top most figure was of Indra . It was made of Gilt copper in 17th - 18th century in Nepal . Indra , an ancient Hindu God reverred by all Nepalese was recognised by his horizontal third eye , in contrast to the vertical third eye of other deities . The right hand side bottom most figure was of Vajradaka . It was made of Bronze in 17th - 18th century in Nepal . The upturned face with gaping mouth identified Vajradaka , an earth spirit who devours ill influences . Tibetans sometime took medicine through his mouth .  The right hand side top most figure was of Yam . It was made of Bronze in 17th - 18th century in Nepal . Yam , a fierce Buddhist protector , "" King of Religious Law "" , and the personification of death was unmistakable because of his bull head and mount , the water buffalo , a combination shared with no other deity .  At the centre was White Tara of the Seven Eyes . This idol was made of Cold gold , Copper alloy , Gilt , Paint and Semi precius stones in 18th - 19th century in Tibet . This form of the Buddhist Goddess Tara was reognised by her five extra eyes , one on the forehead andtwo each on the palms and soles .  The tantric images of Buddhism , the deities are in sexual embrace . We appreciated two such images :  One such image of Yam and His Consort .This idol is made of Cold gold , Copper alloy , Gilt , Paint and Semi precious stones in 15th century in Tibet . Yam , "" Lord of Death "" and "" King of the Law "" united with his consort in the vigorous pose of the fierce deities . Both wear skull studded crowns , his was a garland of severed human heads ; hers was a girdle of humane bone . They were supported by Yam's mount the water buffalo . Originally a Hindu deity , Yam was eventually incorporated into the Buddhist pantheon as a protector .  Another image was of Chakrasamvara and Vajravarahi . This idol was made of Bronze and Gilt in 18th - 19th century in Nepal . When the esoteric Bodhisattva Chakrasamvara united with his consort Vajravarahi , the "" Dimand Sow "" , they represented the union of wisdom and compassion that is the actuality of enlightenment . This extreme multiheaded and multiaremed representation was characteristic of Tantric imagery .  We also learnt the Lost Wax casting process depicted detail by various photographs having commentary .  The visit to the museum is a MUST to know the cultural richness of Nepalese civilization .  Entry Fee : Included in Patan Darbar Square Entry Fee Timings : 10:30 to 16:30 Closed : Tuesdays"
make,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r670938243-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,May 2019,5.0,Wandering the past,"Make sure to visit the 2 entrances of main museum with golden doors, and the unmarked entry through a tall arch. See arch in photo. You’ll want half day to explore."
****** style,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r667810242-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Mar 2019 • Solo,4.0,Excellent museum,"The Patan Museum has a good collection of art and artifacts housed in a marvelous building. Patan is not as busy as Kathmandu so it is a good place to appreciate Nepalese architecture and style. It was also, very fortunate, to escape the massive damage of the earthquake of 2015 and while there was damage it was not as bad as Kathmandu. Spend time reading the explanations of art and explore the museum. Nowhere else in Nepal you will find such information readily available. Guides don’t know much about these treasures and will probably give you the wrong information. The entrance to the museum is included in the ticket for the entire complex."
modern,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r651961510-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Dec 2018 • Couples,5.0,Nearing the end of our visit to Nepal - perfect,"The ancient city of Patan is known in modern terminology as the 'City of Fine Arts'. Well, my husband and I thought this might be a bit lite. The main square is filled with Hindu temples and Buddhist monuments. The Royal Palace pretty much dominates the area in its granduer; the 16th C stone Krishna Mandira with 21 pinnacles dedicated the Lord Krishna does hold its own. But there's more: the Golden Temple and the terra cotta temple of Mahabouddha. By this time we were pretty much exhausted after three weeks of none stop travel. We gazed at all the above maybe more in a stupor than wonder. Now, by reviewing this extraordinary city, we fully appreciate what was to be our last great adventure in Nepal. Nameste."
make,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r622865760-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Sep 2018 • Friends,4.0,the progression of history,seeing how the kingdom of history progressed through Patan is fascinating and this is a great visit- make sure to stop at the shop
make,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r552815987-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Dec 2017 • Family,3.0,Amazing cultural spot,"Patan museum and the area surrounding is where I grew up and everytime I go back to Nepal, I make sure to visit the Patan museum area. Each time I go I fall in love. Right around the corner is an extremely typical newari restaurant ,""Hona cha"", that always seem to fascinate me. The only complain I have is that the Nepalese government should not charge tourist Rs 1000 while Nepalese people are only charged Rs 10. Tourism is vital to Nepal and the tourists are helping the economy. That rate is outrageous and if I were to be a tourist, I would not visit Patan Museum even though I fall in love each time."
make,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r549434743-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Nov 2017 • Friends,5.0,Patan - a wonderful Museum,There is so much to see around the Kathmandu Valley but if you want to see a place with a long history of arts and culture then Patan is the place to go. It is about 40 minutes from central Kathmandu and there is an entrance fee to the main area. Patan is in Lalitpur district which is said to have been founded in the third century BC by the Kirat dynasty and later expanded by Licchavis in the 6th century. It was expanded further by the Mallas during the medieval period. Patan Durbar Square is listed by UNESCO as one of seven Monument Zones that make up the Kathmandu Valley World Heritage Site. Some Patan monuments were badly damaged in the 2015 earthquakes and work is continuing on rebuilding. But the Museum is outstanding and well worth a visit with excellent displays giving the history of Nepal. There are magnificent displays and the signage is in both English and Nepali. Lalitpur has the highest number of renowned artists and finest craftsmen ever recorded in the history of Nepali art. You can only marvel at the intricate wood and metal work as you move through the museum and admire the workmanship of the craftspeople. After visiting the Museum make sure you walk down the road to the Golden Temple - it was spared by the quakes. You can easily spend half a day at Patan and there are many cafes for lunch or tea. Well worth a visit and the entrance fee.
reminds,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r506932155-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Jun 2017 • Friends,4.0,Historic,Interesting place to visit. Not very big but it's part of the Durbar Square. It reminds me of some scenes from Dr. Strange... Entrance fees also apply...
reminds,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r470999752-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Dec 2016 • Couples,5.0,The Joy of Serendipity,"Lots of beautiful art and things that I did not know much about. Our guide let us to browse around on our own. Sometimes, you don't have to know everything about what you are seeing. I can just enjoy the beauty of a lovely work or I look at something and think what it reminds me of or I think of the person creating it, what were they thinking about it's future? Do Check this out."
feel like,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r444759553-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Dec 2016 • Couples,4.0,"Important part of your Patan visit, don't miss it!","The museum is situated right at Patan Durbar square, in a former royal palace complex. The building was largely spared by the 2015 earthquake, and its beautiful facade gives you an idea of ""what was"", and perhaps of ""what will be"" once all the renovations around are completed.  To enter the museum, you will walk through a maze of finely decorated courtyards. The museum itself is compact and well planned, with Hindu and Buddhist artefacts displayed in separate galleries. If you don't feel like an expert in local traditions and beliefs, then this is the right place to start. Most objects are fine metalwork depictions of deities, and insights into the metalwork craft - for which Patan was once famous. Photos can be taken inside.  If you decide to finish your tour at the museum, there is a nice cafe at the back courtyard where you can have a drink and relax. Entry to the museum is now covered by the Patan Tourist Entrance Pass, which you can purchase at Patan Durbar square."
interpretation,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r436262893-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Nov 2016 • Friends,4.0,good place for ppl interested in mythology,"The museum offers different statues and relic of Tibetan, hindu and nepalnese buddism. It is good that you can see and compare the difference of interpretation to buddism.  For those with western background may have less knowledge on the difference between different schools of explanation. Worthy to go."
symbolic,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r435379644-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Oct 2016 • Couples,5.0,"Uncover the symbolic meanings of hands, eyes, and feet.","“The eyes, hands, and feet all have symbolic meanings.” This multi-story museum is a focal point to start learning about the meanings behind the statues positions and gestures. You could literally spend hours reading the detailed (in English) information. Near the entrance was a special exhibit of paintings sponsored by “End Sexual Violence.” The students will explain the artwork and you are invited to purchase some hand-made cards."
make,https://www.tripadvisor.com/ShowUserReviews-g315764-d310829-r433906673-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,https://www.tripadvisor.com/Attraction_Review-g315764-d310829-Reviews-Patan_Museum-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,ATTRACTIONS,Nov 2016 • Couples,4.0,Worthwhile,"Most of the museum was spared from the earthquake. It is housed in a wonderful palace. Just seeing the palace, this architectural wonder with its many rooms and balconies make this worthwhile. The exhibitions are fascinating, they give you a good overview of the history of Buddhism. The exhibitions are well lit and signed in English. In the last courtyard there is a small coffee shop where you can get something to eat or drink"
